| Model   | Data             | Per   | Method   |      Acc |
| gcn     | amazon-photo     | full  | none     | 0.911657 |
| gcn     | amazon-photo     | 0.01  | random   | 0.91218  |
| gcn     | amazon-photo     | 0.01  | degree1  | 0.912703 |
| gcn     | amazon-photo     | 0.01  | degree2  | 0.911657 |
| gcn     | amazon-photo     | 0.01  | pr1      | 0.91218  |
| gcn     | amazon-photo     | 0.01  | pr2      | 0.911657 |
| gcn     | amazon-photo     | 0.03  | random   | 0.913225 |
| gcn     | amazon-photo     | 0.03  | degree1  | 0.914271 |
| gcn     | amazon-photo     | 0.03  | degree2  | 0.912703 |
| gcn     | amazon-photo     | 0.03  | pr1      | 0.915316 |
| gcn     | amazon-photo     | 0.03  | pr2      | 0.913225 |
| gcn     | amazon-photo     | 0.06  | random   | 0.911657 |
| gcn     | amazon-photo     | 0.06  | degree1  | 0.916362 |
| gcn     | amazon-photo     | 0.06  | degree2  | 0.913225 |
| gcn     | amazon-photo     | 0.06  | pr1      | 0.916884 |
| gcn     | amazon-photo     | 0.06  | pr2      | 0.914794 |
| gcn     | amazon-photo     | 0.1   | random   | 0.91218  |
| gcn     | amazon-photo     | 0.1   | degree1  | 0.915839 |
| gcn     | amazon-photo     | 0.1   | degree2  | 0.915839 |
| gcn     | amazon-photo     | 0.1   | pr1      | 0.915839 |
| gcn     | amazon-photo     | 0.1   | pr2      | 0.91793  |
| gcn     | amazon-photo     | 0.2   | random   | 0.908521 |
| gcn     | amazon-photo     | 0.2   | degree1  | 0.917407 |
| gcn     | amazon-photo     | 0.2   | degree2  | 0.919498 |
| gcn     | amazon-photo     | 0.2   | pr1      | 0.914271 |
| gcn     | amazon-photo     | 0.2   | pr2      | 0.918453 |
| gcn     | amazon-photo     | 0.5   | random   | 0.901725 |
| gcn     | amazon-photo     | 0.5   | degree1  | 0.913748 |
| gcn     | amazon-photo     | 0.5   | degree2  | 0.920544 |
| gcn     | amazon-photo     | 0.5   | pr1      | 0.91793  |
| gcn     | amazon-photo     | 0.5   | pr2      | 0.926817 |
| gcn     | pubmed           | full  | none     | 0.875    |
| gcn     | pubmed           | 0.01  | random   | 0.874    |
| gcn     | pubmed           | 0.01  | degree1  | 0.875    |
| gcn     | pubmed           | 0.01  | degree2  | 0.875    |
| gcn     | pubmed           | 0.01  | pr1      | 0.874    |
| gcn     | pubmed           | 0.01  | pr2      | 0.875    |
| gcn     | pubmed           | 0.03  | random   | 0.872    |
| gcn     | pubmed           | 0.03  | degree1  | 0.874    |
| gcn     | pubmed           | 0.03  | degree2  | 0.875    |
| gcn     | pubmed           | 0.03  | pr1      | 0.875    |
| gcn     | pubmed           | 0.03  | pr2      | 0.875    |
| gcn     | pubmed           | 0.06  | random   | 0.875    |
| gcn     | pubmed           | 0.06  | degree1  | 0.875    |
| gcn     | pubmed           | 0.06  | degree2  | 0.875    |
| gcn     | pubmed           | 0.06  | pr1      | 0.874    |
| gcn     | pubmed           | 0.06  | pr2      | 0.875    |
| gcn     | pubmed           | 0.1   | random   | 0.872    |
| gcn     | pubmed           | 0.1   | degree1  | 0.875    |
| gcn     | pubmed           | 0.1   | degree2  | 0.875    |
| gcn     | pubmed           | 0.1   | pr1      | 0.875    |
| gcn     | pubmed           | 0.1   | pr2      | 0.875    |
| gcn     | pubmed           | 0.2   | random   | 0.87     |
| gcn     | pubmed           | 0.2   | degree1  | 0.874    |
| gcn     | pubmed           | 0.2   | degree2  | 0.873    |
| gcn     | pubmed           | 0.2   | pr1      | 0.872    |
| gcn     | pubmed           | 0.2   | pr2      | 0.872    |
| gcn     | pubmed           | 0.5   | random   | 0.863    |
| gcn     | pubmed           | 0.5   | degree1  | 0.87     |
| gcn     | pubmed           | 0.5   | degree2  | 0.869    |
| gcn     | pubmed           | 0.5   | pr1      | 0.878    |
| gcn     | pubmed           | 0.5   | pr2      | 0.871    |
| gcn     | amazon-computers | full  | none     | 0.855148 |
| gcn     | amazon-computers | 0.01  | random   | 0.854857 |
| gcn     | amazon-computers | 0.01  | degree1  | 0.854857 |
| gcn     | amazon-computers | 0.01  | degree2  | 0.854857 |
| gcn     | amazon-computers | 0.01  | pr1      | 0.854857 |
| gcn     | amazon-computers | 0.01  | pr2      | 0.854567 |
| gcn     | amazon-computers | 0.03  | random   | 0.853112 |
| gcn     | amazon-computers | 0.03  | degree1  | 0.856894 |
| gcn     | amazon-computers | 0.03  | degree2  | 0.853694 |
| gcn     | amazon-computers | 0.03  | pr1      | 0.857184 |
| gcn     | amazon-computers | 0.03  | pr2      | 0.853403 |
| gcn     | amazon-computers | 0.06  | random   | 0.855439 |
| gcn     | amazon-computers | 0.06  | degree1  | 0.85922  |
| gcn     | amazon-computers | 0.06  | degree2  | 0.853985 |
| gcn     | amazon-computers | 0.06  | pr1      | 0.859802 |
| gcn     | amazon-computers | 0.06  | pr2      | 0.854567 |
| gcn     | amazon-computers | 0.1   | random   | 0.851367 |
| gcn     | amazon-computers | 0.1   | degree1  | 0.862711 |
| gcn     | amazon-computers | 0.1   | degree2  | 0.854567 |
| gcn     | amazon-computers | 0.1   | pr1      | 0.861838 |
| gcn     | amazon-computers | 0.1   | pr2      | 0.856894 |
| gcn     | amazon-computers | 0.2   | random   | 0.851367 |
| gcn     | amazon-computers | 0.2   | degree1  | 0.864747 |
| gcn     | amazon-computers | 0.2   | degree2  | 0.85893  |
